,Zipcode,Zillow_value_per_Zip_x,Unnamed: 0,Zillow_value_per_Zip_y,State,City,Street,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice,PriceTier
66,85118,494069.1491,66,494069.1491,AZ,Gold Canyon,E Las Mananitas Dr,4,2.5,2654,205.3504145,0.14520202,33.49578,-112.396576,545000,between 501 and 550
67,85119,425369.2153,67,425369.2153,AZ,Apache Junction,N Muleshoe Rd,4,2.25,2043,178.658835,0.19469697,33.49561,-112.11985,365000,between 351 and 400
68,85120,352704.0503,68,352704.0503,AZ,Apache Junction,S Saguaro Dr,4,2.5,2306,227.6669558,0.213039486,33.575817,-112.449036,525000,between 501 and 550
69,85120,352704.0503,69,352704.0503,AZ,Apache Junction,S Palo Verde Dr,3,2.0,2323,257.8562204,0.235146924,33.67341,-112.63037,599000,between 551 and 600
70,85122,319024.6726,72,319024.6726,AZ,Casa Grande,E Jaycie Dr,4,3.0,2614,170.3136955,0.155211203,33.43018,-112.56237,445200,between 401 and 450
71,85122,319024.6726,75,319024.6726,AZ,Casa Grande,E Viola St,3,2.0,1578,316.2230672,0.122796143,33.56486,-112.27933,499000,between 451 and 500
72,85122,319024.6726,70,319024.6726,AZ,Casa Grande,E Linda Dr,4,4.0,4152,150.5298651,0.383838384,33.033493,-112.0428,625000,between 601 and 650
73,85122,319024.6726,71,319024.6726,AZ,Casa Grande,E Jaycie Dr,3,2.0,1812,358.7196468,0.261294766,33.29835,-112.03221,650000,between 601 and 650
74,85122,319024.6726,73,319024.6726,AZ,Casa Grande,E Jaycie Dr,4,2.5,2251,385.8285207,5.34,35.400185,-112.16676,868500,between 851 and 900
75,85122,319024.6726,74,319024.6726,AZ,Casa Grande,E Jaycie Dr,3,3.5,3097,370.5198579,0.277502296,33.50401,-112.50308,1147500,between a million and 1.25
76,85132,347842.4738,79,347842.4738,AZ,Florence,E Marigold Ln,3,2.0,1002,244.510978,0.114738292,33.396057,-110.7806,245000,less than 250
77,85132,347842.4738,76,347842.4738,AZ,Florence,N Presidio Dr,2,2.0,1660,286.1445783,0.115863177,33.241726,-111.58238,475000,between 451 and 500
78,85132,347842.4738,77,347842.4738,AZ,Florence,E Aster Ln,3,2.0,1780,269.6067416,0.166023875,33.21396,-111.57169,479900,between 451 and 500
79,85132,347842.4738,80,347842.4738,AZ,Florence,W Victory Way,4,2.0,1540,324.025974,0.175688705,33.47679,-112.05992,499000,between 451 and 500
80,85132,347842.4738,78,347842.4738,AZ,Florence,W Sandpiper Way,4,2.0,2580,232.5581395,0.505601469,34.389248,-111.45537,600000,between 551 and 600
81,85138,364200.9246,85,364200.9246,AZ,Maricopa,W Santa Fe St,3,2.5,1511,264.6591661,0.10530303,33.702038,-112.13972,399900,between 351 and 400
82,85138,364200.9246,84,364200.9246,AZ,Maricopa,W Almira Ct,4,2.0,2310,238.0519481,0.201584022,33.63273,-112.24758,549900,between 501 and 550
83,85138,364200.9246,86,364200.9246,AZ,Maricopa,N Karsten Dr,7,3.0,2232,353.6738351,0.333746556,33.64685,-112.09028,789400,between 751 and 800
84,85138,364200.9246,83,364200.9246,AZ,Maricopa,N Ventana Ln,3,2.0,2436,359.1954023,0.283310376,33.601654,-111.72924,875000,between 851 and 900
85,85138,364200.9246,81,364200.9246,AZ,Maricopa,N Palo Rojo Rd,3,3.0,2501,499.80008,0.171671258,33.563435,-111.92014,1250000,between a million and 1.25
86,85138,364200.9246,82,364200.9246,AZ,Maricopa,W Mallard Rd,4,3.0,2756,798.2583454,0.811662075,33.59925,-111.9064,2200000,between 2 and 2.5
87,85139,353175.1006,88,353175.1006,AZ,Maricopa,W Alamendras St,4,2.0,2080,297.5961538,0.23292011,33.69241,-112.21859,619000,between 601 and 650
88,85139,353175.1006,87,353175.1006,AZ,Maricopa,W Zion Rd,5,3.5,3414,527.2407733,1.4665,33.765,-111.89169,1800000,between 1.51 and 2
89,85140,435768.7085,90,435768.7085,AZ,Queen Creek,N Kaden Ct,3,2.0,1300,288.4615385,0.101010101,33.412838,-111.59596,375000,between 351 and 400
90,85140,435768.7085,97,435768.7085,AZ,San Tan Valley,E Inca Ln,4,2.0,2088,246.6475096,0.154958678,33.513382,-112.26263,515000,between 501 and 550
91,85140,435768.7085,89,435768.7085,AZ,Queen Creek,N Kennedy Dr,3,2.0,2123,259.0673575,0.203191001,33.225597,-111.84902,550000,between 501 and 550
92,85140,435768.7085,91,435768.7085,AZ,San Tan Valley,N Bristlecone Dr,3,2.0,2001,299.850075,1.0239,33.488808,-112.48122,600000,between 551 and 600
93,85140,435768.7085,96,435768.7085,AZ,San Tan Valley,Weston Ln,4,3.0,2118,311.5675165,0.143526171,33.764965,-112.11341,659900,between 651 and 700
94,85140,435768.7085,92,435768.7085,AZ,San Tan Valley,W Tallow Tree Ave,4,3.0,3038,217.2481896,0.165289256,33.74739,-112.2097,660000,between 651 and 700
95,85140,435768.7085,94,435768.7085,AZ,San Tan Valley,E Baker Dr,4,3.5,2938,408.4411164,0.525688705,33.364815,-112.04591,1200000,between a million and 1.25
96,85140,435768.7085,93,435768.7085,AZ,San Tan Valley,E Andalusian Loop,4,3.5,2792,626.4326648,0.207759412,33.645287,-111.8691,1749000,between 1.51 and 2
97,85140,435768.7085,95,435768.7085,AZ,San Tan Valley,E Bradstock Way,4,3.5,3411,583.4066256,0.291391185,33.70667,-111.92144,1990000,between 1.51 and 2
98,85142,567502.0835,100,567502.0835,AZ,San Tan Valley,W Phillips Rd,3,2.0,1401,289.0792291,0.154706152,33.518612,-112.48036,405000,between 401 and 450
99,85142,567502.0835,98,567502.0835,AZ,Queen Creek,E Via Del Palo,4,2.0,1840,225.5434783,0.123966942,33.394318,-112.124115,415000,between 401 and 450
100,85142,567502.0835,103,567502.0835,AZ,Queen Creek,E Maya Rd,4,3.0,2850,154.9122807,0.13,31.988365,-110.97995,441500,between 401 and 450
101,85142,567502.0835,102,567502.0835,AZ,Queen Creek,E Escalante Rd,3,2.0,1664,306.4903846,0.17,32.216904,-111.0376,510000,between 501 and 550
102,85142,567502.0835,101,567502.0835,AZ,Queen Creek,E Marsh Rd,4,3.0,2324,300.7745267,1.75,34.29403,-110.176636,699000,between 651 and 700
103,85142,567502.0835,99,567502.0835,AZ,Queen Creek,E Mockingbird Dr,4,3.0,3243,354.5790934,0.232438017,33.222008,-111.80286,1149900,between a million and 1.25
104,85143,386961.6011,104,386961.6011,AZ,Queen creek,W Angus Rd,4,3.0,2397,179.5994994,0.13,31.965727,-110.98721,430500,between 401 and 450
105,85143,386961.6011,107,386961.6011,AZ,San Tan Valley,E Pineapple Rd,4,3.0,2031,219.1038897,0.27,34.711536,-112.005745,445000,between 401 and 450
106,85143,386961.6011,105,386961.6011,AZ,San Tan Valley,N Coral Bean Dr,2,2.0,1867,261.9175147,0.22,31.806698,-111.02562,489000,between 451 and 500
107,85143,386961.6011,108,386961.6011,AZ,San Tan Valley,E Mill Reef Dr,2,2.0,1781,289.1633914,0.11,34.591213,-112.437126,515000,between 501 and 550
108,85143,386961.6011,106,386961.6011,AZ,San Tan Valley,N Caspian Way,3,2.0,1701,405.0558495,0.4,34.47389,-114.26506,689000,between 651 and 700
109,85194,369543.2768,109,369543.2768,AZ,Casa Grande,N San Ricardo Ct,3,2.0,2081,312.301778,0.382231405,34.947636,-111.64848,649900,between 601 and 650
110,85201,358007.4316,110,358007.4316,AZ,Mesa,W University Dr,3,2.0,2118,330.0283286,0.5,34.748478,-112.00463,699000,between 651 and 700
111,85202,388921.3967,111,388921.3967,AZ,Mesa,W Kiowa Cir,6,4.0,2843,422.0541681,0.51,34.47979,-114.29006,1199900,between a million and 1.25
112,85203,440321.5773,112,440321.5773,AZ,Mesa,E Kramer St,3,2.0,2041,188.633023,0.16,32.063164,-110.70426,385000,between 351 and 400
113,85204,389227.5002,113,389227.5002,AZ,Mesa,S Val Vista Dr UNIT 15,6,3.0,3883,83.69817152,0.142033976,33.407936,-112.042816,325000,between 301 and 350
114,85205,402756.3558,114,402756.3558,AZ,Mesa,N Higley Rd UNIT 16,4,7.0,7052,765.7402155,1.1868,33.622505,-111.7699,5400000,over 4.5 million
115,85206,389560.7566,115,389560.7566,AZ,Mesa,E Elena Ave,3,3.0,1794,386.9565217,1.05,34.22923,-110.035286,694200,between 651 and 700
116,85207,546814.5217,116,546814.5217,AZ,Mesa,N Avery Cir,3,2.0,1490,221.4765101,0.14,32.230038,-110.89825,330000,between 301 and 350
117,85207,546814.5217,117,546814.5217,AZ,Mesa,E Trailridge Cir,3,2.0,2839,146.1782318,1.0,34.28684,-110.11174,415000,between 401 and 450
118,85207,546814.5217,118,546814.5217,AZ,Mesa,E Quill St,4,2.0,2722,293.901543,0.255004591,33.529926,-112.05212,800000,between 751 and 800
119,85208,379383.8905,120,379383.8905,AZ,Mesa,E Arcadia Ave,4,2.0,1877,212.5732552,0.161799816,32.629612,-114.37691,399000,between 351 and 400
120,85208,379383.8905,121,379383.8905,AZ,Mesa,S 72nd St,3,3.0,1800,244.4444444,0.174242424,32.63597,-114.37674,440000,between 401 and 450
121,85208,379383.8905,119,379383.8905,AZ,Mesa,S Essex Ln,3,2.0,2007,423.4678625,0.164003673,33.62519,-111.88431,849900,between 801 and 850
122,85209,445784.2042,122,445784.2042,AZ,Mesa,S Luther,3,2.0,1110,252.2522523,0.153351699,32.67806,-114.65254,280000,between 251 and 300
123,85209,445784.2042,124,445784.2042,AZ,Mesa,S Terripin Cir,3,2.5,1350,296.2222222,0.210009183,34.592148,-112.321434,399900,between 351 and 400
124,85209,445784.2042,123,445784.2042,AZ,Mesa,E Jan Cir,4,4.0,2981,402.54948,0.25879247,33.85822,-112.10148,1200000,between a million and 1.25
125,85210,359546.4589,125,359546.4589,AZ,Mesa,E 7th Ave,4,3.0,3209,288.2517918,0.286707989,33.55144,-112.06824,925000,between 901 and million
126,85212,559897.457,128,559897.457,AZ,Mesa,S Oxley,3,2.0,1558,262.3106547,0.109274564,33.323128,-111.567024,408680,between 401 and 450
127,85212,559897.457,126,559897.457,AZ,Mesa,E Supernova Dr,3,2.0,1536,269.5703125,0.109274564,33.323486,-111.564705,414060,between 401 and 450
128,85212,559897.457,129,559897.457,AZ,Mesa,S Veneto,3,2.5,2006,233.7986042,0.275482094,33.654556,-112.2512,469000,between 451 and 500
129,85212,559897.457,130,559897.457,AZ,Mesa,E Unity Ave,3,2.0,1930,272.0207254,0.14,34.55461,-112.24062,525000,between 501 and 550
130,85212,559897.457,127,559897.457,AZ,Mesa,S 101st Way,5,3.0,2780,219.4244604,0.12943067,33.318844,-111.72774,610000,between 601 and 650
131,85215,490455.4159,131,490455.4159,AZ,Mesa,E Northridge Cir,3,2.0,1550,200.0,0.53,31.52082,-110.99875,310000,between 301 and 350
132,85215,490455.4159,132,490455.4159,AZ,Mesa,E Minton Pl,3,3.5,1820,346.1538462,0.03030303,33.445976,-111.93072,630000,between 601 and 650
133,85224,449872.3668,133,449872.3668,AZ,Chandler,W Palo Verde Dr,3,2.0,1888,225.1059322,0.160192837,33.393864,-111.67646,425000,between 401 and 450
