State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice
AZ,Phoenix,N Dayton St,85006,2,2,1855,256.06469,0.145087236,33.071648,-111.454926,475000
AZ,Phoenix,W Lynwood St,85007,2,3,2423,531.9851424,0.98,34.590916,-112.44415,1289000
AZ,Phoenix,W Virginia Ave,85009,4,2,1706,199.2960141,0.28,32.194954,-110.87046,339999
AZ,Phoenix,E Tuckey Ln,85012,4,3,2827,256.4556067,0.175,33.448963,-111.67128,725000
AZ,Phoenix,W Roma Ave,85013,1,1,704,383.5227273,0.67,34.731953,-111.995346,270000
AZ,Phoenix,N 13th Pl,85014,3,2,1454,299.1059147,0.108080808,33.850014,-112.09675,434900
AZ,Phoenix,E Ocotillo Rd,85014,6,6,6429,699.9533364,0.471166208,35.15945,-111.63412,4500000
AZ,Phoenix,N Longview Ave,85014,5,2,2040,188.7254902,0.099977043,33.397583,-111.752014,385000
AZ,Phoenix,N Longview Ave,85014,2,2,1120,302.6785714,0.23,34.516693,-114.2995,339000
AZ,Phoenix,N 10th Way,85014,5,3,3058,359.7122302,0.29,34.49078,-114.342155,1100000
AZ,Phoenix,W Whitton Ave,85015,4,2,2260,210.1769912,0.17,32.377716,-111.12587,475000
AZ,Phoenix,E Weldon Ave,85016,4,5,4518,265.6042497,0.94,32.320312,-110.94595,1200000
AZ,Phoenix,W Solano Dr S,85017,2,3,1612,325.6823821,1.03,32.28271,-110.88861,525000
AZ,Phoenix,N 28th Ave,85017,3,3,2651,296.1146737,0.78,32.291454,-110.840675,785000
AZ,Phoenix,N 32nd Way,85018,3,2,1370,400.729927,0.2,32.217514,-110.954384,549000
AZ,Phoenix,N 34th St,85018,4,3,2391,292.3462986,1,32.283592,-111.0757,699000
AZ,Phoenix,W Berridge Ln,85019,2,2,1455,184.8797251,0.26,31.878593,-110.988235,269000
AZ,Phoenix,N 2nd St,85020,2,2,1554,211.7117117,0.13,31.875372,-110.99967,329000
AZ,Phoenix,N 4th Pl,85020,2,2,2016,247.0238095,0.17,32.53015,-110.86592,498000
AZ,Phoenix,E Northern Ave,85020,3,3,1479,211.5618661,0.04,32.146755,-110.76594,312900
AZ,Phoenix,E Golden Ln,85020,3,3,2386,167.6445935,0.14,32.06229,-110.72677,400000
AZ,Phoenix,N 23rd Pl,85020,4,3,2575,155.1456311,0.14,31.958105,-110.77518,399500
AZ,Phoenix,N 3rd Dr,85021,5,3,2903,163.6238374,2.75E-06,32.085297,-110.749886,475000
AZ,Phoenix,E Friess Dr,85022,3,2,1659,250.1506932,0.27,32.23803,-110.8064,415000
AZ,Phoenix,E Greenway Rd,85022,3,2,1046,229.4455067,0.19,32.132957,-111.12572,240000
AZ,Phoenix,N 12th St,85022,3,3,2675,171.9626168,0.23,32.108425,-110.694954,460000
